City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
200,Alta Floresta,BR,-9.8756,-56.0861,82.22,34,0,4.61,clear sky
201,Guadalajara,MX,20.6667,-103.3333,76.98,11,0,1.99,clear sky
202,Paamiut,GL,61.994,-49.6678,36.03,77,60,8.72,broken clouds
203,Nome,US,64.5011,-165.4064,55.17,50,17,7.27,few clouds
204,Coffs Harbour,AU,-30.3,153.1333,58.96,94,75,10.36,light rain
205,Gagarin,RU,55.5529,34.9954,48.79,64,100,6.93,overcast clouds
206,Richards Bay,ZA,-28.783,32.0377,70.2,81,55,8.75,broken clouds
207,Zamora,EC,-4.0692,-78.9567,79.84,87,100,3.6,light rain
208,Ahtopol,BG,42.1,27.95,62.98,65,50,7.67,scattered clouds
209,Jalu,LY,29.0331,21.5482,81.97,14,0,17.25,clear sky
210,Shelburne,CA,44.0787,-80.2041,73.85,81,100,15.79,overcast clouds
211,Eregli,TR,37.5133,34.0467,62.98,32,0,5.23,clear sky
212,Tilichiki,RU,60.4667,166.1,33.66,97,100,5.55,overcast clouds
213,Clinton,US,42.587,-82.9199,77.22,77,75,13.8,broken clouds
214,Lasa,IT,46.6166,10.7002,77.68,48,63,3.91,broken clouds
215,Coihaique,CL,-45.5752,-72.0662,43.41,87,75,3.44,broken clouds
216,Yar-Sale,RU,66.8333,70.8333,34.5,92,100,26.22,light snow
217,Souillac,MU,-20.5167,57.5167,73.78,88,75,19.57,broken clouds
218,Thinadhoo,MV,0.5333,72.9333,83.8,73,58,10.11,broken clouds
219,Naron,ES,43.5167,-8.1528,74.55,64,8,16.08,clear sky
220,Phan Thiet,VN,10.9333,108.1,78.87,89,99,4.88,light rain
221,Roald,NO,62.5833,6.1333,61.16,82,40,8.05,fog
222,Santa Maria,BR,-29.6842,-53.8069,58.3,72,40,3.44,scattered clouds
223,Udachnyy,RU,66.4167,112.4,39.45,74,100,3.22,overcast clouds
224,Morris,US,40.8334,-74.5329,69.15,82,75,1.01,haze
225,Batsfjord,NO,70.6345,29.7185,40.93,80,40,16.11,scattered clouds
226,Margate,GB,51.3813,1.3862,61.7,76,56,5.99,broken clouds
227,San Patricio,US,28.017,-97.5169,86.09,52,26,22.7,scattered clouds
228,Ust-Maya,RU,60.4167,134.5333,39.78,75,95,8.12,overcast clouds
229,Fort Saint James,CA,54.4333,-124.25,49.1,37,3,5.08,clear sky
230,Ixtapa,MX,20.7,-105.2,81.23,64,6,5.01,clear sky
231,Usinsk,RU,65.9939,57.5281,36.3,62,92,18.48,overcast clouds
232,Chuy,UY,-33.6971,-53.4616,59.88,53,2,9.31,clear sky
233,Nhulunbuy,AU,-12.2333,136.7667,79.41,83,0,6.91,clear sky
234,Vorchdorf,AT,48.0039,13.9212,88.93,64,18,4.03,few clouds
235,Half Moon Bay,US,37.4636,-122.4286,64.87,46,20,11.5,few clouds
236,Sioux Lookout,CA,50.1001,-91.917,39.27,93,100,8.05,overcast clouds
237,Natal,BR,-5.795,-35.2094,88.02,62,40,9.22,scattered clouds
238,Yellowknife,CA,62.456,-114.3525,50.52,27,75,3.44,broken clouds
239,Flinders,AU,-34.5833,150.8552,57.06,90,100,4.0,moderate rain
240,Darhan,MN,49.4867,105.9228,69.44,31,40,3.27,scattered clouds
241,Mount Isa,AU,-20.7333,139.5,67.77,60,0,11.5,clear sky
242,Maniitsoq,GL,65.4167,-52.9,36.16,55,67,3.49,broken clouds
243,Korla,CN,41.7597,86.1469,80.04,17,100,13.73,overcast clouds
244,Carballo,ES,43.213,-8.691,76.01,78,9,10.76,clear sky
