City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
241,Esperance,AU,66.22,broken clouds,-33.8667,121.9,Hospitality Esperance
242,Lagoa,PT,58.98,broken clouds,39.05,-27.9833,Casa Das Faias
243,Borogontsy,RU,41.79,overcast clouds,62.6683,131.1683,
244,Jackson,US,58.14,broken clouds,42.4165,-122.8345,Agate Village Apartments
245,Te Anau,NZ,42.8,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
246,Haradok,BY,46.51,overcast clouds,55.4624,29.9816,Sportivnyy Gorodok
247,Mayna,RU,38.61,broken clouds,54.1135,47.6231,Gostinnitsa
248,Ixtapa,MX,71.64,clear sky,20.7,-105.2,hotel la terminal
249,Miguel Hidalgo,MX,78.21,scattered clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
250,Pyaozerskiy,RU,33.67,scattered clouds,65.8333,31.1667,Taratuga
251,Pogranichnyy,RU,74.97,few clouds,44.4064,131.3769,Gostinitsa Merkuriy
252,Georgiyevka,KZ,62.64,clear sky,43.0369,74.7114,Gostinitsa Imperiya
253,Paamiut,GL,33.8,broken clouds,61.994,-49.6678,Pistut
254,Madimba,TZ,72.72,scattered clouds,-10.4,40.3333,
255,Dawei,MM,79.16,moderate rain,14.0833,98.2,Hotel Dawei
256,Soe,ID,79.99,clear sky,-9.8607,124.28399999999999,Dena Hotel
257,Kruisfontein,ZA,51.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
258,Port Macquarie,AU,63.9,light rain,-31.4333,152.9167,Rydges Port Macquarie
259,Chokurdakh,RU,33.03,overcast clouds,70.6333,147.9167,
260,Saskylakh,RU,32.7,overcast clouds,71.9167,114.0833,
261,Nara,JP,73.49,light rain,34.6851,135.8049,Guesthouse Nara Komachi
262,Dekar,BW,58.6,clear sky,-21.5333,21.9333,
263,Tshane,BW,60.57,overcast clouds,-24.0196,21.8684,
264,Kodiak,US,56.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
265,Phan Thiet,VN,84.6,broken clouds,10.9333,108.1,Hotel Saigon-PT
266,Agadez,NE,82.4,scattered clouds,19.75,10.25,
267,Chuy,UY,48.67,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
268,Nyaunglebin,MM,76.66,overcast clouds,17.95,96.7333,Thi ha
269,Vulcan,RO,45.34,clear sky,45.3833,23.2667,Green Paradise Restaurant
270,Jalu,LY,68.99,clear sky,29.0331,21.5482,صاحبة الفخامة
271,Mogadishu,SO,79.56,overcast clouds,2.0371,45.3438,Hotel Juba
272,Flin Flon,CA,40.84,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
273,Ola,RU,39.15,overcast clouds,59.5833,151.2833,
274,Mandurah,AU,59.92,light rain,-32.55,115.7,Atrium Hotel Mandurah
275,Kodinar,IN,82.31,clear sky,20.7903,70.7031,residency of N.B vadhel
276,Rincon De Tamayo,MX,71.31,broken clouds,20.4167,-100.75,Finca Bugambilias del Bajío
277,Naryan-Mar,RU,30.18,scattered clouds,67.6713,53.086999999999996,Hostel Agat
278,Lorengau,PG,83.82,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
279,Dikson,RU,30.34,overcast clouds,73.5069,80.5464,
280,Beloha,MG,66.31,clear sky,-25.1667,45.05,
281,Tucurui,BR,72.34,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
282,Ajdabiya,LY,65.53,clear sky,30.7554,20.2263,Almadina Hotel
283,Saldanha,ZA,46.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
284,Leh,IN,45.81,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
285,Shizuishan,CN,74.97,clear sky,39.2333,106.7694,Xingji Hotel
286,Olafsvik,IS,47.23,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
287,Knysna,ZA,56.93,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
288,Harper,LR,78.37,broken clouds,4.375,-7.7169,Screensaver
289,Sinnamary,GF,76.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
290,San Ramon De La Nueva Oran,AR,50.34,few clouds,-23.1322,-64.32600000000001,Hotel Residencial Centro
291,Bud,US,73.38,overcast clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
292,Leningradskiy,RU,34.47,overcast clouds,69.3833,178.4167,Gostinitsa
293,Nowy Sacz,PL,51.82,overcast clouds,49.6218,20.6971,Hotel Panorama
294,Cherskiy,RU,56.97,broken clouds,68.75,161.3,Gostinitsa
295,Russell,US,83.8,clear sky,32.3502,-85.1999,Macs
296,Mar Del Plata,AR,48.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
297,Caravelas,BR,66.99,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
298,Aklavik,CA,40.59,overcast clouds,68.2191,-135.0107,Aklavik Inn
299,Sann,PK,82.31,clear sky,26.0418,68.1378,New Sindhri Hotel
300,Tete,MZ,66.47,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
301,Sault Sainte Marie,CA,57.76,few clouds,46.5168,-84.3333,Comfort Inn
302,Keti Bandar,PK,82.08,clear sky,24.1447,67.4497,Haji laloo memon house
303,Victoria,HK,83.97,overcast clouds,22.2855,114.1577,Mini Central
304,Kiunga,PG,85.3,light rain,-6.1219,141.2906,Airport Lodge Kiunga
305,Katsuura,JP,69.28,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
306,Vila Velha,BR,62.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
307,Carballo,ES,58.87,overcast clouds,43.213,-8.691,Pazo do Souto
308,Ningxiang,CN,70.93,clear sky,37.34,111.2052,IU Hotel Luliang Xiaoyi Zhenxing Street
309,Joshimath,IN,69.21,scattered clouds,30.5667,79.5667,Shivalik Camps & Resort
310,Shimoda,JP,73.76,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
311,San Quintin,MX,61.02,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
312,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
313,Zalesovo,RU,61.95,broken clouds,53.9939,84.7431,Кафе 22rus
314,Ballina,AU,63.79,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
315,Ust-Tsilma,RU,35.13,broken clouds,65.441,52.1498,U Praskov'i
316,Cururupu,BR,73.33,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
317,Misheronskiy,RU,33.55,clear sky,55.7193,39.7383,Baza Otdykha Misheronskii
318,Arlit,NE,82.54,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
319,Maraa,BR,69.17,overcast clouds,-1.8333,-65.3667,
320,Nekhayevskiy,RU,49.33,overcast clouds,50.4106,41.7561,Gostevoy Dom St. Nekhaevskaya Zhil'yo Posutochno
